CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U85100GA2022PTC015629,YESHHRAJ AYURVEDA HEALTH PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,500000.00,2022-11-23,"SHOP NO.5 WING A,   SANGOLDA RESIDENCY, SANGOLDA,BARDEZ,North Goa,Goa,403521-India",Unlisted,Active,goa,Indian,85100,"Community, personal and Social Services"
U85190GA2007PTC005383,LIFESTYLE AND WELLNESS CLINICS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,0.00,2007-07-12,"G-4, DONA ROSA BLDG   PORBA VADDO,CALANGUTE,North Goa,Goa,403516-India",Unlisted,Strike Off,goa,Indian,85190,"Community, personal and Social Services"
U85191GA2005PTC003938,AROMATICA WELLBEING CENTRE PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,450000.00,450000.00,2005-03-23,"H NO 1049 GRANDE PEDDEM ANJUNA, ,   BARDEZ,GOA,Goa,403509-India",Unlisted,Under process of striking off,goa,Indian,85191,"Community, personal and Social Services"
U17299GA2020PTC014559,CASA DE APPARELS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2020-10-29,"Office NO 301, Rizvi Chambers, Caetanode   Albuquerque Road, Panjim Tiswadi,Panaji,North Goa,Goa,403001-India",Unlisted,Strike Off,goa,Indian,17299,Manufacturing (Textiles)
U18101GA2013PTC007334,ARTASIA PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2013-10-01,"House No 467/47   Temmar Waddo, Assagao,Bardez,North Goa,Goa,403507-India",Unlisted,Strike Off,goa,Indian,18101,Manufacturing (Textiles)
U20114GA2024PTC016482,MERLION PLASTICS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2024-03-22,"C/o. Maria C Fernandes,,H.No 254, Khalcha Wada,,Bardez,North Goa,Goa,403524-India",Unlisted,Active,goa,Indian,20114,"Manufacturing (Metals and Chemicals, and products thereof)"
U51226GA2005PTC003996,DUNAGIRI TEAS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2005-04-20,"NORONHA HAVENROW VILLA NO  3   SIOLIM  SALCETE,GOA,Goa,403716-India",Unlisted,Strike Off,goa,Indian,51226,Trading
U51392GA2003PTC003184,KATHAK METALS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,100000.00,2003-02-05,"231,BHAVANI SHANKAR CHAMBERS,GAMESJ MAGAR,   KHANDOLA,,GOA,Goa,000000-India",Unlisted,Under process of striking off,goa,Indian,51392,Trading
U51420GA2013PTC007271,SHIVRAM KRISHNA IRON AND STEEL TRADERS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2013-07-15,"235/J, KARLE RIVER VILLE   PULWADDO,BENAULIM,South Goa,Goa,403716-India",Unlisted,Active,goa,Indian,51420,Trading
U72900GA2001PTC003040,SEROTONIN MEDIA PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2001-10-30,"XIMERANNA WADDO   CANDOLIM,GOA,Goa,403515-India",Unlisted,Under process of striking off,goa,Indian,72900,Business Services
